날짜,발전수요량,기온(°C)
2024-02-05,765435.1666666666,10.1625
2024-02-06,790300.9166666666,7.416666666666667
2024-02-07,805357.875,5.916666666666667
2024-02-08,812416.2916666666,5.329166666666667
2024-02-09,755062.0416666666,6.404166666666666
2024-02-10,715218.4583333334,7.75
2024-02-11,713151.7083333334,8.708333333333334
2024-02-12,706220.7916666666,9.141666666666667
2024-02-13,704642.25,12.066666666666668
2024-02-14,704534.9583333334,15.9375
2024-02-15,747311.25,10.108333333333333
2024-02-16,773570.2916666666,6.804166666666667
2024-02-17,714247.25,9.591666666666667
2024-02-18,698980.125,14.358333333333334
2024-02-19,680636.0416666666,16.029166666666665
2024-02-20,735605.6666666666,10.7875
2024-02-21,744120.6666666666,12.4375
2024-02-22,793873.1666666666,9.35
2024-02-23,804448.125,7.6875
2024-02-24,793457.2916666666,7.675000000000001
2024-02-25,750779.5416666666,7.9750000000000005
2024-02-26,761420.4166666666,7.470833333333332
2024-02-27,751355.0416666666,9.208333333333334
2024-02-28,759763.25,9.979166666666666
2024-02-29,821082.0,8.504166666666666
2024-03-01,807699.6666666666,3.841666666666667
2024-03-02,785418.2083333334,4.4375
2024-03-03,769709.5833333334,8.4375
2024-03-04,803826.0416666666,9.983333333333333
2024-03-05,807805.2916666666,10.8375
2024-03-06,783671.5416666666,10.579166666666667
2024-03-07,771686.6666666666,8.179166666666667
2024-03-08,781727.5416666666,7.8500000000000005
2024-03-09,744175.6666666666,7.0375000000000005
2024-03-10,721598.5416666666,7.591666666666666
2024-03-11,795769.7916666666,9.070833333333333
2024-03-12,769194.9583333334,9.825000000000001
2024-03-13,747256.2916666666,9.345833333333333
2024-03-14,748201.5,10.645833333333334
2024-03-15,729974.7916666666,11.25
2024-03-16,687878.9583333334,13.0625
2024-03-17,667480.0416666666,12.241666666666667
2024-03-18,712834.0416666666,10.629166666666666
2024-03-19,717892.2916666666,12.020833333333334
2024-03-20,769180.0833333334,8.445833333333333
2024-03-21,757294.25,8.345833333333333
2024-03-22,731076.7083333334,13.9
2024-03-23,640217.2083333334,17.070833333333333
2024-03-24,682581.5833333334,14.529166666666667
2024-03-25,735000.25,14.275
2024-03-26,731450.5833333334,10.920833333333334
2024-03-27,713464.0,12.904166666666667
2024-03-28,764424.9166666666,13.299999999999999
2024-03-29,701991.375,15.025
